Station,n,latrines,Setup_Date,Retrieval_Date,Time.Retrieval,trap.ngt,n.trap,gram,forb,length,width,quality,area,elev,perm,Species,Det_DateTime,Det
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/10/2022 20:18,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/11/2022 9:16,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/12/2022 16:53,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/14/2022 11:35,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/22/2022 10:22,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/22/2022 12:17,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/23/2022 1:48,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/23/2022 12:50,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/26/2022 13:14,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/26/2022 14:49,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/26/2022 14:51,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/26/2022 17:13,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/27/2022 4:57,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/27/2022 5:42,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/28/2022 11:27,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,7/29/2022 12:19,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/1/2022 10:07,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/1/2022 16:48,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/1/2022 17:05,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/1/2022 17:08,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/2/2022 12:48,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/2/2022 14:37,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/3/2022 8:46,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/4/2022 12:58,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/4/2022 13:31,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/4/2022 16:23,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/4/2022 17:59,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/5/2022 18:19,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/6/2022 18:42,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/7/2022 13:05,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/7/2022 14:18,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/7/2022 18:08,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/8/2022 10:10,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/8/2022 16:45,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/10/2022 19:04,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/10/2022 19:08,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 10:52,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 11:26,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 11:54,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 13:11,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 13:45,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 14:19,1
BR463,44,26,7/8/2022,8/12/2022,10:08,34,1.294117647,3,3,150,15,6,2987,1212.716431,67.06118011,COPI,8/11/2022 14:36,1
